Path,Lines,DecompilerHits,FlowLabels,Total
cmg/prod/client/misc/cl_cardev.lua,7222,11292,40,11332
cmg/prod/client/vehicles/cl_garages.lua,12814,8653,79,8732
cmg/prod/client/misc/cl_emotes.lua,6648,7689,61,7750
cmg/prod/client/misc/cl_cinematics.lua,5850,7566,16,7582
cmg/prod/client/lfb/cl_lfb.lua,7361,5783,9,5792
cmg/prod/client/home/cl_home.lua,4914,5306,26,5332
cmg/prod/client/vehicles/cl_lscustoms.lua,5812,5125,41,5166
cmg/prod/client/drugs/cl_acid.lua,4123,4986,6,4992
cmg/prod/client/misc/cl_vending.lua,5618,4834,0,4834
cmg/prod/client/jobs/cl_pilotjob.lua,5207,4768,20,4788
cmg/prod/client/util/client/cl_events.lua,5231,4602,12,4614
cmg/prod/client/hmp/cl_prison.lua,5826,3954,40,3994
cmg/prod/client/misc/cl_dvsa.lua,4950,3953,4,3957
cmg/prod/client/police/cl_police.lua,4743,3789,15,3804
cmg/prod/client/crime/cl_bankheists.lua,4916,3348,30,3378
cmg/prod/client/misc/cl_voltlabHacking.lua,2636,3326,3,3329
cmg/prod/client/crime/cl_gang.lua,12339,3165,140,3305
cmg/prod/client/jobs/cl_mechanic.lua,8312,2999,191,3190
cmg/prod/client/weapons/cl_gunstore.lua,2472,3177,8,3185
cmg/prod/client/misc/cl_chairs.lua,5007,2903,71,2974
cmg/prod/client/hmp/cl_prisonDoors.lua,2327,2820,69,2889
cmg/prod/client/staff/cl_customraces.lua,2148,2740,6,2746
cmg/prod/client/hud/cl_hud.lua,3732,2699,18,2717
cmg/prod/client/weapons/cl_aimtraining.lua,2568,2696,16,2712
cmg/prod/client/business/cl_business.lua,2622,2670,16,2686
cmg/prod/client/weapons/cl_arena.lua,7377,2494,59,2553
cmg/prod/client/police/cl_scenemenu.lua,3050,2519,14,2533
cmg/prod/client/vehicles/cl_els.lua,4452,2483,30,2513
cmg/prod/client/crime/cl_storerob.lua,3812,2456,15,2471
cmg/prod/client/police/cl_policedog.lua,2358,2435,6,2441
cmg/prod/client/staff/cl_rpzones.lua,2080,2407,12,2419
cmg/prod/client/events/cl_battleroyale.lua,2519,2391,10,2401
cmg/prod/client/jobs/cl_vigilante.lua,2537,2297,20,2317
cmg/prod/client/casino/cl_casinojackpot.lua,2262,2292,0,2292
cmg/prod/client/ui/cl_radialmenu.lua,4893,2222,57,2279
cmg/prod/client/misc/cl_vkint.lua,2414,2275,0,2275
cmg/prod/client/jobs/cl_aa.lua,2305,2243,28,2271
cmg/prod/client/events/cl_jewelryheist.lua,2568,2233,0,2233
cmg/prod/client/developer/cl_devmisc.lua,2838,2181,18,2199
cmg/prod/client/jobs/cl_trucking.lua,2146,2148,4,2152
cmg/prod/client/nhs/cl_nhs.lua,2307,2111,32,2143
cmg/prod/client/misc/cl_weaponsonback.lua,2101,2096,10,2106
cmg/prod/client/business/cl_cleaner.lua,1808,2064,8,2072
cmg/prod/client/crime/cl_gangui.lua,3783,1912,63,1975
cmg/prod/client/crime/cl_redzones.lua,1744,1946,24,1970
cmg/prod/client/misc/cl_animations.lua,11528,1845,7,1852
cmg/prod/client/nhs/cl_stretcher.lua,1880,1831,8,1839
cmg/prod/client/misc/cl_statistics.lua,1493,1769,12,1781
cmg/prod/client/faction/cl_radios.lua,2430,1756,8,1764
cmg/prod/client/casino/cl_casinobarseating.lua,1514,1718,2,1720
cmg/prod/client/police/cl_heli.lua,1536,1707,4,1711
cmg/prod/client/lfb/cl_ladders.lua,1992,1681,6,1687
cmg/prod/client/business/cl_billboards.lua,1896,1660,2,1662
cmg/prod/client/drugs/cl_turf.lua,2254,1615,12,1627
cmg/prod/client/misc/cl_tattoos.lua,1191,1595,4,1599
cmg/prod/client/lib/utils.lua,1026,1557,11,1568
cmg/prod/client/jobs/cl_scubadiving.lua,1525,1563,4,1567
cmg/prod/client/casino/cl_casinochips.lua,1062,1544,2,1546
cmg/prod/client/vehicles/cl_licenseplate.lua,1066,1543,0,1543
cmg/prod/client/events/cl_triathlon.lua,1379,1534,0,1534
cmg/prod/client/jobs/cl_farming.lua,1863,1487,6,1493
cmg/prod/client/developer/cl_devtestbeds.lua,1050,1483,4,1487
cmg/prod/client/events/cl_organheist.lua,2376,1460,18,1478
cmg/prod/client/crime/cl_purge.lua,2147,1457,10,1467
cmg/prod/client/casino/cl_casinoslots.lua,2077,1428,12,1440
cmg/prod/client/drugs/cl_trader.lua,1470,1425,0,1425
cmg/prod/client/jobs/cl_taco.lua,1569,1422,0,1422
cmg/prod/client/police/cl_impound.lua,1821,1416,4,1420
cmg/prod/client/casino/cl_casinocoinflip.lua,1563,1398,0,1398
cmg/prod/client/staff/cl_spectate.lua,1562,1381,6,1387
cmg/prod/client/vehicles/cl_simeons.lua,1686,1371,6,1377
cmg/prod/client/jobs/cl_g4s.lua,3314,1368,6,1374
cmg/prod/client/vehicles/cl_fuel.lua,1364,1358,7,1365
cmg/prod/client/misc/cl_cratedrop.lua,1435,1360,2,1362
cmg/prod/client/hmp/cl_prisonToiletEscapeMinigame.lua,2114,1324,28,1352
cmg/prod/client/police/cl_borderforce.lua,1376,1303,4,1307
cmg/prod/client/business/cl_delivery.lua,1011,1299,0,1299
cmg/prod/client/items/cl_items.lua,1748,1268,0,1268
cmg/prod/client/business/cl_waiter.lua,1199,1232,20,1252
cmg/prod/client/police/cl_copblips.lua,1108,1219,14,1233
cmg/prod/client/misc/cl_crosshair.lua,1121,1222,4,1226
cmg/prod/client/misc/cl_fingerprintHacking.lua,5532,1224,0,1224
